,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
578,Marko Simonovic,Chi,C,22.46,9,3.9,8.1,27.4,9.2,11,0.727,10,0.3,5,0.2,0.3,0.428,1.9,1.1,15.9,0.0,0.0,0.11,0.11,0.22,0.0,,
579,Anfernee Simons,Por,G,22.81,57,29.5,61.4,24.7,11.9,116,0.888,355,0.49,442,0.405,0.555,0.583,17.3,2.6,4.9,3.9,22.0,0.53,0.11,2.02,7.6,112.3,115.9
580,Jericho Sims,Nyk,C,23.45,36,11.5,23.9,6.4,25.0,18,0.333,37,0.757,0,0.0,0.757,0.69,1.7,3.4,15.8,0.4,5.1,0.17,0.42,0.42,4.6,130.5,100.4
581,Deividas Sirvydis,Det,F-G,21.81,3,8.9,18.5,16.1,0.0,0,0.0,3,0.0,7,0.143,0.15,0.15,1.0,2.0,12.2,0.3,5.0,1.0,0.33,0.0,3.8,40.8,93.3
582,Javonte Smart,Mil,G,22.83,13,12.3,25.6,14.6,16.5,6,0.833,25,0.28,18,0.222,0.302,0.34,2.4,1.5,6.3,1.1,11.0,0.31,0.15,0.69,5.1,77.4,108.6
583,Javonte Smart,Mia,G,22.83,2,2.1,4.4,31.8,0.0,0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
584,Marcus Smart,Bos,G,28.07,66,32.7,68.0,18.4,16.5,175,0.789,345,0.499,327,0.324,0.493,0.534,12.1,4.0,6.5,5.8,25.5,1.77,0.26,2.24,8.0,109.3,102.6
585,Dennis Smith Jr.,Por,G,24.35,37,17.3,36.0,18.1,19.0,64,0.656,162,0.451,27,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30.2,1.22,0.32,1.38,8.4,101.8,109.7
586,Ish Smith,Cha,G,33.74,37,13.8,28.8,19.1,15.7,19,0.632,160,0.394,25,0.4,0.422,0.434,4.5,1.5,5.9,2.6,26.2,0.54,0.27,0.97,7.5,95.2,111.4
587,Ish Smith,Was,G,33.74,22,21.4,44.6,20.8,14.5,5,0.6,151,0.464,35,0.343,0.473,0.476,8.1,3.0,7.8,4.8,34.1,0.86,0.5,1.45,9.1,103.0,108.6
588,Jalen Smith,Pho,F-C,22.04,29,13.2,27.4,20.6,12.1,52,0.769,98,0.551,39,0.231,0.493,0.547,6.0,4.8,19.6,0.2,2.1,0.21,0.62,0.76,5.4,113.8,95.0
589,Jalen Smith,Ind,F-C,22.04,19,24.7,51.4,19.8,7.8,45,0.756,107,0.636,73,0.384,0.611,0.636,13.4,7.8,17.6,0.8,5.3,0.32,1.0,0.89,7.1,125.5,109.5
